#     index      Reference     Calculated        Error^2    
         1 1.07099925e+00 1.08383424e+00 1.64737074e-04    
         2 1.01233031e+00 1.01413361e+00 3.25189029e-06    
         3 6.65937930e-01 6.66418092e-01 2.30555832e-07    
         4 8.86276084e-01 8.85027378e-01 1.55926736e-06    
         5 1.01375608e+00 1.03327083e+00 3.80825451e-04    
         6 1.28166265e+00 1.29020808e+00 7.30243679e-05    
         7 9.80545954e-01 9.74107839e-01 4.14493310e-05    
         8 8.75354910e-01 8.65871988e-01 8.99257926e-05    
         9 1.33836767e+00 1.34780332e+00 8.90314977e-05    
        10 7.17545501e-01 7.13563248e-01 1.58583396e-05    
        11 1.31814536e+00 1.30587420e+00 1.50581276e-04    
        12 8.43201261e-01 8.36903046e-01 3.96675206e-05    
        13 9.05215952e-01 8.94734756e-01 1.09855467e-04    
        14 6.90600935e-01 6.89626164e-01 9.50178386e-07    
        15 9.73979005e-01 9.68918897e-01 2.56046875e-05    
        16 1.86297940e+00 1.87700806e+00 1.96803460e-04    
        17 1.59421382e+00 1.60347627e+00 8.57928718e-05    
        18 1.06165162e+00 1.07739771e+00 2.47939578e-04    
        19 8.36365299e-01 8.42144310e-01 3.33969761e-05    
        20 1.68201037e+00 1.67822694e+00 1.43143685e-05    
        21 7.35027978e-01 7.42811104e-01 6.05770501e-05    
        22 7.76485646e-01 7.79760403e-01 1.07240334e-05    
        23 1.75249267e+00 1.75233946e+00 2.34733116e-08    
        24 1.52363514e+00 1.52343228e+00 4.11512185e-08    
        25 1.18574111e+00 1.19252808e+00 4.60629356e-05    
        26 9.58788381e-01 9.62065897e-01 1.07421086e-05    
        27 9.77520041e-01 9.81263803e-01 1.40157526e-05    
        28 1.17762967e+00 1.18968869e+00 1.45419883e-04    
        29 1.67312640e+00 1.66777620e+00 2.86246619e-05    
        30 1.25536975e+00 1.24159718e+00 1.89683820e-04    
        31 1.07833088e+00 1.06636515e+00 1.43178660e-04    
        32 1.44944626e+00 1.45821381e+00 7.68699414e-05    
        33 9.64555695e-01 9.71497958e-01 4.81950132e-05    
        34 1.07890907e+00 1.07196744e+00 4.81862452e-05    
        35 1.34925075e+00 1.34870453e+00 2.98362464e-07    
        36 1.27133272e+00 1.27239101e+00 1.11999240e-06    
        37 8.83233981e-01 8.70455082e-01 1.63300273e-04    
        38 1.04723697e+00 1.04477063e+00 6.08282920e-06    
        39 9.79370503e-01 9.84161562e-01 2.29542420e-05    
        40 1.10882671e+00 1.10498254e+00 1.47776547e-05    
        41 1.53934829e+00 1.54871993e+00 8.78276616e-05    
        42 1.26845615e+00 1.27452046e+00 3.67758362e-05    
        43 9.15195047e-01 9.18560839e-01 1.13285539e-05    
        44 9.15447682e-01 9.20028514e-01 2.09840171e-05    
        45 1.01032975e+00 1.00755299e+00 7.71040747e-06    
        46 1.37070555e+00 1.38270862e+00 1.44073597e-04    
        47 9.18946926e-01 9.17427040e-01 2.31005322e-06    
        48 1.56730101e+00 1.57749405e+00 1.03898004e-04    
        49 1.12840934e+00 1.14083711e+00 1.54449460e-04    
        50 1.33422667e+00 1.34146687e+00 5.24204703e-05    
        51 2.63906385e+00 2.64524262e+00 3.81772697e-05    
        52 4.06572113e+00 4.03955080e+00 6.84886599e-04    
        53 2.42398366e+00 2.40603962e+00 3.21988352e-04    
        54 5.51992295e+00 5.43833234e+00 6.65702761e-03    
        55 4.41449874e+00 4.47349508e+00 3.48056786e-03    
        56 6.89881791e+00 6.99179589e+00 8.64490347e-03    
        57 6.42339791e+00 6.39208387e+00 9.80569015e-04    
        58 5.19705433e+00 5.29614466e+00 9.81889447e-03    
        59 3.42015382e+00 3.42609944e+00 3.53504087e-05    
        60 4.10246564e+00 4.12107692e+00 3.46379587e-04    
        61 6.22069911e+00 6.09931540e+00 1.47340042e-02    
        62 3.63941228e+00 3.75711776e+00 1.38545790e-02    
        63 1.20973359e+01 1.21571087e+01 3.57278876e-03    
        64 6.42915318e+00 6.41642515e+00 1.62002748e-04    
        65 4.38619418e+00 4.38449418e+00 2.88997762e-06    
        66 5.46412913e+00 5.42847599e+00 1.27114699e-03    
        67 4.28584179e+00 4.28582987e+00 1.42283922e-10    
        68 4.75998325e+00 4.78488413e+00 6.20053802e-04    
        69 6.42076614e+00 6.44572052e+00 6.22721482e-04    
        70 2.70335037e+00 2.74808188e+00 2.00090758e-03    
        71 3.59437235e+00 3.59522573e+00 7.28262211e-07    
        72 3.58203194e+00 3.55529752e+00 7.14728950e-04    
        73 4.90642909e+00 4.87835985e+00 7.87882185e-04    
        74 6.64044089e+00 6.75865880e+00 1.39754749e-02    
        75 5.97340409e+00 5.95444794e+00 3.59335669e-04    
        76 2.68913358e+00 2.64243028e+00 2.18119872e-03    
        77 6.78377591e+00 6.79220473e+00 7.10449132e-05    
        78 5.44968399e+00 5.43591634e+00 1.89548301e-04    
