    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
         1      1.07099925e+00      1.08383424e+00      1.08383424e+00     -0.00000000e+00                          0.00000000e+00    
         2      1.01233031e+00      1.01413361e+00      1.01413361e+00     -0.00000000e+00                          0.00000000e+00    
         3      6.65937930e-01      6.66418092e-01      6.66418092e-01     -0.00000000e+00                          0.00000000e+00    
         4      8.86276084e-01      8.85027378e-01      8.85027378e-01     -0.00000000e+00                          0.00000000e+00    
         5      1.01375608e+00      1.03327083e+00      1.03327083e+00     -0.00000000e+00                          0.00000000e+00    
         6      1.28166265e+00      1.29020808e+00      1.29020808e+00     -0.00000000e+00                          0.00000000e+00    
         7      9.80545954e-01      9.74107839e-01      9.74107839e-01     -0.00000000e+00                          0.00000000e+00    
         8      8.75354910e-01      8.65871988e-01      8.65871988e-01     -0.00000000e+00                          0.00000000e+00    
         9      1.33836767e+00      1.34780332e+00      1.34780332e+00     -0.00000000e+00                          0.00000000e+00    
        10      7.17545501e-01      7.13563248e-01      7.13563248e-01     -0.00000000e+00                          0.00000000e+00    
        11      1.31814536e+00      1.30587420e+00      1.30587420e+00     -0.00000000e+00                          0.00000000e+00    
        12      8.43201261e-01      8.36903046e-01      8.36903046e-01     -0.00000000e+00                          0.00000000e+00    
        13      9.05215952e-01      8.94734756e-01      8.94734756e-01     -0.00000000e+00                          0.00000000e+00    
        14      6.90600935e-01      6.89626164e-01      6.89626164e-01     -0.00000000e+00                          0.00000000e+00    
        15      9.73979005e-01      9.68918897e-01      9.68918897e-01     -0.00000000e+00                          0.00000000e+00    
        16      1.86297940e+00      1.87700806e+00      1.87700806e+00     -0.00000000e+00                          0.00000000e+00    
        17      1.59421382e+00      1.60347627e+00      1.60347627e+00     -0.00000000e+00                          0.00000000e+00    
        18      1.06165162e+00      1.07739771e+00      1.07739771e+00     -0.00000000e+00                          0.00000000e+00    
        19      8.36365299e-01      8.42144310e-01      8.42144310e-01     -0.00000000e+00                          0.00000000e+00    
        20      1.68201037e+00      1.67822694e+00      1.67822694e+00     -0.00000000e+00                          0.00000000e+00    
        21      7.35027978e-01      7.42811104e-01      7.42811104e-01     -0.00000000e+00                          0.00000000e+00    
        22      7.76485646e-01      7.79760403e-01      7.79760403e-01     -0.00000000e+00                          0.00000000e+00    
        23      1.75249267e+00      1.75233946e+00      1.75233946e+00     -0.00000000e+00                          0.00000000e+00    
        24      1.52363514e+00      1.52343228e+00      1.52343228e+00     -0.00000000e+00                          0.00000000e+00    
        25      1.18574111e+00      1.19252808e+00      1.19252808e+00     -0.00000000e+00                          0.00000000e+00    
        26      9.58788381e-01      9.62065897e-01      9.62065897e-01     -0.00000000e+00                          0.00000000e+00    
        27      9.77520041e-01      9.81263803e-01      9.81263803e-01     -0.00000000e+00                          0.00000000e+00    
        28      1.17762967e+00      1.18968869e+00      1.18968869e+00     -0.00000000e+00                          0.00000000e+00    
        29      1.67312640e+00      1.66777620e+00      1.66777620e+00     -0.00000000e+00                          0.00000000e+00    
